,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
771,2.7,5.88,4.0,2.24,1.25,16.07
76,4.0,4.48,4.25,2.14,1.18,16.05
523,1.8,5.11,5.05,2.54,1.3,15.8
278,2.8,4.06,5.15,2.3,1.23,15.54
732,3.6,4.41,3.8,2.36,1.18,15.349999999999998
711,2.8,3.99,4.35,2.72,1.41,15.27
671,5.3,5.25,2.95,1.14,0.61,15.25
620,2.5,4.69,4.55,2.28,1.23,15.25
704,3.7,3.92,3.7,2.4,1.2,14.92
225,5.1,4.97,2.7,1.14,0.76,14.67
131,3.7,4.48,3.25,1.94,1.12,14.489999999999998
47,3.6,4.62,3.45,1.94,0.87,14.48
764,3.3,3.71,4.8,1.48,1.03,14.32
266,2.6,3.43,4.55,2.26,1.28,14.12
33,2.6,3.71,4.3,2.06,1.43,14.1
34,7.9,3.08,2.2,0.68,0.2,14.06
330,3.1,3.85,3.85,2.16,1.08,14.04
51,0.8,2.66,5.7,2.72,2.01,13.89
318,,9.59,2.85,0.94,0.43,13.81
607,3.0,4.13,3.6,2.0,1.06,13.79
303,2.5,3.36,4.65,2.1,1.18,13.79
410,2.9,3.36,4.35,2.02,1.14,13.77
388,11.3,1.54,0.65,0.1,0.1,13.69
188,2.7,3.92,3.7,2.06,1.19,13.57
205,2.6,4.34,4.05,1.68,0.89,13.56
416,3.4,4.06,3.35,1.26,0.94,13.009999999999998
101,1.9,4.76,3.25,1.92,1.07,12.9
232,2.4,3.71,3.55,1.66,1.21,12.53
86,,4.55,4.45,2.24,1.26,12.5
177,2.0,3.71,4.2,1.68,0.87,12.46
372,5.3,3.92,1.7,0.98,0.47,12.37
2,2.6,3.78,3.6,1.38,0.95,12.31
573,3.6,3.85,2.75,1.38,0.71,12.29
18,7.4,2.66,1.4,0.56,0.23,12.250000000000002
346,2.1,3.43,3.7,1.9,1.03,12.16
63,2.0,2.87,3.95,2.1,1.15,12.07
677,2.1,2.73,3.7,1.82,1.1,11.45
381,,7.21,2.55,1.16,0.52,11.44
93,1.0,3.92,3.2,2.0,1.2,11.32
299,5.9,2.45,1.9,0.62,0.31,11.18
667,1.5,3.43,3.6,1.68,0.91,11.12
383,8.3,1.54,0.95,0.18,0.13,11.1
248,1.7,3.92,2.95,1.48,0.99,11.04
261,1.2,2.94,3.5,2.18,1.15,10.97
230,3.3,2.66,3.1,1.02,0.7,10.78
402,7.8,1.89,0.55,0.28,0.21,10.73
706,2.6,2.8,2.65,1.64,0.9,10.590000000000002
294,1.1,2.87,3.65,1.66,1.11,10.39
614,0.1,3.57,3.55,2.04,1.08,10.34
384,1.5,2.94,3.05,1.8,1.03,10.32
60,1.9,3.43,2.35,1.4,1.07,10.15
611,1.4,2.31,2.95,2.18,1.31,10.15
553,1.5,3.15,3.0,1.64,0.83,10.12
280,1.6,2.59,3.3,1.52,1.09,10.1
276,1.3,2.8,3.1,1.74,1.16,10.1
222,5.9,2.03,1.4,0.52,0.12,9.97
380,8.5,0.91,0.4,0.06,0.01,9.88
444,3.6,2.59,2.05,1.08,0.51,9.829999999999998
415,1.7,2.45,2.75,1.82,1.04,9.760000000000002
184,0.9,3.08,2.95,1.88,0.92,9.73
67,1.8,2.59,3.15,1.18,1.0,9.72
680,8.9,0.42,0.25,,0.01,9.58
453,1.6,3.43,2.15,1.44,0.7,9.32
697,,7.91,1.1,0.26,0.05,9.32
664,4.6,2.17,1.5,0.6,0.26,9.13
629,1.8,2.73,2.55,1.16,0.84,9.08
87,1.4,2.38,3.0,1.42,0.86,9.06
147,1.8,1.33,3.3,1.48,0.92,8.83
144,0.7,1.89,3.7,1.52,0.92,8.73
206,4.3,2.1,1.6,0.46,0.15,8.610000000000001
203,2.0,2.17,2.25,1.38,0.74,8.54
353,0.7,2.52,3.1,1.28,0.89,8.49
477,0.5,2.38,2.65,1.78,1.14,8.45
447,2.0,2.73,2.25,0.96,0.5,8.440000000000001
189,2.5,2.38,2.3,0.74,0.43,8.35
548,0.7,2.17,2.75,1.66,1.05,8.33
136,1.1,2.73,2.2,1.46,0.82,8.31
705,4.7,2.59,0.45,0.36,0.15,8.25
632,1.0,2.59,2.25,1.3,1.09,8.23
517,0.5,1.33,2.8,2.08,1.31,8.02
355,1.2,2.52,1.95,1.32,1.01,8.0
640,2.6,1.82,1.8,1.12,0.66,8.0
207,1.4,1.33,3.15,1.24,0.7,7.82
370,1.6,1.89,2.4,1.18,0.74,7.81
543,1.1,2.1,2.3,1.32,0.92,7.74
652,1.5,2.38,1.5,1.44,0.9,7.7200000000000015
231,0.9,1.96,2.7,1.22,0.83,7.61
159,2.7,2.1,1.6,0.58,0.56,7.540000000000001
