,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
56,1647.0,1545.0,1358.0,1220.0,1117.0
228,1627.0,1521.0,1582.0,1551.0,1589.0
341,1621.0,1194.0,974.0,864.0,762.0
591,1610.0,1393.0,1294.0,1360.0,1199.0
306,1597.0,1629.0,1521.0,1479.0,1361.0
761,1588.0,905.0,581.0,476.0,422.0
419,1541.0,1332.0,1318.0,1307.0,1184.0
628,1535.0,1403.0,1378.0,1280.0,1211.0
471,1528.0,1396.0,1165.0,1075.0,958.0
657,1527.0,1342.0,1301.0,1173.0,1039.0
589,1519.0,1479.0,1505.0,1512.0,1504.0
163,1519.0,808.0,657.0,520.0,488.0
290,1501.0,2059.0,1206.0,942.0,737.0
179,1493.0,1124.0,876.0,764.0,663.0
392,1493.0,1544.0,1400.0,1159.0,1209.0
287,1483.0,1305.0,1143.0,1097.0,998.0
364,1471.0,1999.0,1151.0,920.0,744.0
389,1471.0,712.0,463.0,335.0,342.0
151,1462.0,687.0,606.0,531.0,387.0
474,1455.0,1469.0,1557.0,1602.0,1567.0
340,1448.0,1391.0,1247.0,1133.0,1085.0
586,1442.0,1615.0,1472.0,1394.0,1321.0
394,1438.0,1296.0,1243.0,1179.0,1142.0
446,1436.0,1821.0,1708.0,1592.0,1508.0
53,1425.0,2349.0,2408.0,2471.0,2163.0
669,1423.0,1211.0,1204.0,1208.0,1212.0
307,1422.0,2479.0,1828.0,1487.0,1300.0
519,1421.0,1474.0,1575.0,1585.0,1549.0
425,1416.0,1246.0,1192.0,1159.0,1113.0
150,1399.0,1310.0,1209.0,1213.0,1127.0
66,1396.0,1431.0,1507.0,1457.0,1475.0
178,1396.0,752.0,602.0,501.0,456.0
368,1389.0,1349.0,1235.0,1169.0,1151.0
409,1384.0,1520.0,1755.0,1652.0,1758.0
288,1378.0,1507.0,1625.0,1551.0,1508.0
598,1374.0,1850.0,1440.0,1207.0,1162.0
723,1364.0,1043.0,983.0,894.0,848.0
92,1363.0,994.0,816.0,672.0,533.0
781,1357.0,2433.0,3037.0,3398.0,3432.0
418,1356.0,1111.0,1219.0,1219.0,1181.0
615,1355.0,560.0,404.0,294.0,241.0
