,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
761,10.6,6.44,4.6,1.48,0.58,23.7
553,1.0,5.46,8.2,5.6,2.9,23.16
382,6.8,7.84,4.7,2.52,1.26,23.12
220,4.8,7.28,6.6,2.6,1.72,23.0
317,11.8,6.44,2.7,1.32,0.52,22.78
522,12.8,5.6,3.1,0.88,0.28,22.66
398,12.8,5.74,2.1,1.36,0.34,22.34
640,4.8,6.86,5.9,3.24,1.5,22.300000000000004
337,3.2,5.6,6.9,4.24,2.32,22.26
406,15.0,4.9,1.6,0.44,0.3,22.24
48,4.2,7.42,6.0,2.44,1.56,21.62
712,11.6,4.76,3.6,1.16,0.46,21.58
193,5.4,5.18,5.6,3.8,1.52,21.5
136,5.8,6.58,5.1,2.2,1.56,21.239999999999995
302,9.2,4.2,4.4,2.08,0.78,20.66
657,6.2,4.62,5.4,2.96,1.34,20.52
739,4.0,5.6,5.6,3.36,1.74,20.3
455,5.8,6.44,4.1,2.4,1.52,20.26
11,7.4,6.16,4.0,1.44,0.98,19.980000000000004
489,9.4,5.6,3.4,1.04,0.52,19.96
252,14.2,2.66,2.1,0.6,0.4,19.96
563,6.0,5.32,5.3,2.2,1.0,19.82
270,2.0,4.2,6.4,4.08,2.96,19.64
615,10.2,5.46,2.9,0.8,0.26,19.62
766,9.2,4.9,3.8,1.12,0.5,19.52
715,9.6,4.48,3.5,1.2,0.72,19.5
613,4.6,6.86,4.9,2.44,0.64,19.44
526,6.4,4.9,4.9,1.92,1.04,19.160000000000004
692,13.0,3.5,1.5,0.48,0.3,18.78
638,4.8,5.46,4.9,1.96,1.0,18.12
21,7.2,5.46,3.3,1.4,0.5,17.86
423,4.8,4.62,4.8,2.36,1.22,17.799999999999994
297,6.8,5.74,3.3,1.36,0.44,17.64
221,3.8,5.88,4.7,2.0,1.2,17.58
763,3.4,6.02,4.7,2.32,1.02,17.46
284,7.8,3.78,3.4,1.64,0.58,17.2
59,2.0,2.8,5.8,3.84,2.36,16.8
26,4.8,5.6,4.2,1.56,0.5,16.659999999999997
294,1.8,3.36,5.4,3.64,2.44,16.64
144,0.2,4.48,6.6,3.28,2.08,16.64
446,2.0,6.16,5.1,2.04,1.28,16.580000000000002
705,8.6,4.06,2.8,0.92,0.14,16.520000000000003
697,,13.3,2.5,0.64,0.02,16.46
76,2.8,5.04,4.6,2.72,1.3,16.46
684,1.0,5.74,5.6,2.48,1.5,16.32
403,5.2,3.92,4.6,1.84,0.6,16.16
170,4.8,4.2,3.8,2.24,1.04,16.080000000000002
234,2.2,5.6,5.3,1.72,1.12,15.94
701,6.8,3.5,3.4,1.4,0.78,15.88
769,2.4,3.5,5.0,3.2,1.54,15.64
44,4.2,4.34,4.1,1.96,0.88,15.48
354,1.2,3.64,5.9,3.16,1.56,15.46
214,2.2,4.62,4.2,2.32,1.26,14.6
472,4.8,4.76,2.9,1.28,0.82,14.56
451,5.6,3.92,2.7,1.08,0.42,13.72
160,1.2,2.8,4.9,2.64,2.0,13.54
662,3.0,3.78,4.3,1.48,0.96,13.52
347,4.0,3.36,3.5,1.6,0.94,13.4
91,3.4,4.34,3.6,1.2,0.68,13.22
164,3.6,2.66,3.9,2.0,0.98,13.14
129,3.0,3.92,3.0,2.0,0.82,12.74
402,9.4,1.96,0.9,0.24,0.1,12.6
147,2.6,2.94,3.5,1.88,1.56,12.48
545,0.6,2.94,3.4,2.84,2.48,12.26
719,3.2,3.92,3.0,1.16,0.8,12.080000000000002
541,,4.06,4.7,2.04,1.1,11.9
279,1.4,3.5,3.6,1.92,1.4,11.82
344,3.6,3.08,2.7,1.52,0.76,11.659999999999998
46,3.0,3.78,2.6,1.44,0.76,11.579999999999998
412,1.6,2.24,4.5,2.28,0.92,11.54
169,1.8,4.34,2.9,1.36,1.02,11.419999999999998
721,2.6,4.34,2.1,1.72,0.6,11.36
378,2.6,3.5,2.4,1.56,1.24,11.3
600,,4.2,3.8,2.12,1.1,11.22
386,5.4,3.36,1.4,0.68,0.34,11.18
47,2.2,3.22,3.5,1.56,0.7,11.18
272,2.2,1.82,4.2,1.84,1.04,11.1
161,2.8,3.22,2.9,1.32,0.8,11.04
71,1.8,2.94,3.0,1.96,1.22,10.92
512,0.8,2.66,3.5,2.44,1.36,10.76
521,1.8,3.22,2.6,2.0,1.04,10.66
577,2.4,3.22,3.1,1.12,0.74,10.58
605,1.8,2.94,3.6,1.6,0.62,10.56
565,3.2,2.8,2.0,1.32,0.74,10.06
207,1.2,3.08,2.8,1.96,0.76,9.8
750,6.4,1.82,0.9,0.24,0.24,9.6
114,1.8,3.22,2.1,1.48,0.94,9.54
484,3.6,2.94,2.0,0.48,0.34,9.36
187,0.4,1.68,3.4,2.4,1.44,9.32
251,1.8,2.38,2.2,1.72,1.06,9.16
87,2.0,2.8,2.3,1.2,0.84,9.14
575,2.6,2.94,2.0,0.88,0.48,8.9
326,3.0,2.66,1.9,0.8,0.5,8.860000000000003
260,1.6,2.1,2.9,1.32,0.9,8.82
538,3.4,2.94,1.3,0.68,0.26,8.58
342,3.8,2.66,1.1,0.68,0.34,8.58
438,3.2,2.8,1.4,0.64,0.4,8.440000000000001
350,4.4,2.1,1.4,0.32,0.2,8.42
669,3.4,1.96,1.8,0.84,0.32,8.319999999999999
119,1.4,3.36,1.8,1.0,0.56,8.12
505,0.8,2.8,2.6,1.24,0.68,8.12
24,1.6,2.1,2.8,0.76,0.58,7.84
591,1.6,2.66,2.2,0.52,0.38,7.36
311,3.0,1.54,1.9,0.72,0.2,7.3599999999999985
30,5.0,0.84,1.0,0.12,0.14,7.1
49,0.6,2.24,2.3,1.24,0.64,7.0200000000000005
507,4.0,1.54,0.8,0.24,0.12,6.7
504,2.2,2.24,1.2,0.72,0.3,6.66
756,2.4,1.54,1.2,0.68,0.68,6.499999999999999
706,1.0,1.54,1.8,1.28,0.82,6.44
467,2.8,0.28,2.0,0.84,0.26,6.18
757,0.4,0.98,2.3,1.44,1.06,6.18
6,1.0,1.82,2.0,0.8,0.44,6.0600000000000005
